subject,idna_subject,expiration_date,epoch,registrar
99881.biz,99881.biz,03-feb-2024,1706918400.0,"GoDaddy.com, LLC"
99882.wang,99882.wang,05-dec-2023,1701734400.0,Alibaba.com Singapore E-Commerce Private Limited
99881288.com,99881288.com,13-jun-2024,1718236800.0,"NameCheap, Inc."
99882v.com,99882v.com,13-jul-2024,1720828800.0,"GoDaddy.com, LLC"
99883x.com,99883x.com,13-jul-2024,1720828800.0,"GoDaddy.com, LLC"
9988696.com,9988696.com,25-dec-2023,1703462400.0,"GoDaddy.com, LLC"
99882.org,99882.org,20-nov-2023,1700438400.0,"GoDaddy.com, LLC"
99887x.com,99887x.com,13-jul-2024,1720828800.0,"GoDaddy.com, LLC"
99887833.com,99887833.com,14-jan-2024,1705190400.0,"GoDaddy.com, LLC"
998842.com,998842.com,09-dec-2023,1702080000.0,"GoDaddy.com, LLC"
99886v.com,99886v.com,13-jul-2024,1720828800.0,"GoDaddy.com, LLC"
99889.org,99889.org,20-nov-2023,1700438400.0,"GoDaddy.com, LLC"
998906.com,998906.com,17-aug-2023,1692230400.0,Realtime Register B.V.
9988hth.vip,9988hth.vip,09-dec-2023,1702080000.0,Porkbun
9988wb.com,9988wb.com,16-nov-2023,1700092800.0,"GoDaddy.com, LLC"
9988esb.com,9988esb.com,28-may-2024,1716854400.0,"GoDaddy.com, LLC"
998915.com,998915.com,09-dec-2023,1702080000.0,"GoDaddy.com, LLC"
998917.com,998917.com,09-dec-2023,1702080000.0,"GoDaddy.com, LLC"
998926.com,998926.com,09-dec-2023,1702080000.0,"GoDaddy.com, LLC"
998932.com,998932.com,09-dec-2023,1702080000.0,"GoDaddy.com, LLC"
998936.com,998936.com,09-dec-2023,1702080000.0,"GoDaddy.com, LLC"
99893.org,99893.org,01-feb-2024,1706745600.0,"Dynadot, LLC"
998937.com,998937.com,09-dec-2023,1702080000.0,"GoDaddy.com, LLC"
9989365.com,9989365.com,16-may-2024,1715817600.0,"GoDaddy.com, LLC"
998938.com,998938.com,09-dec-2023,1702080000.0,"GoDaddy.com, LLC"
9989788.com,9989788.com,29-jul-2024,1722211200.0,Gname.com Pte. Ltd.
99897fa.com,99897fa.com,28-jul-2024,1722124800.0,Gname.com Pte. Ltd.
998965.com,998965.com,09-dec-2023,1702080000.0,"GoDaddy.com, LLC"
998954.com,998954.com,09-dec-2023,1702080000.0,"GoDaddy.com, LLC"
998978.com,998978.com,09-dec-2023,1702080000.0,"GoDaddy.com, LLC"
998ctw.com,998ctw.com,31-dec-2023,1703980800.0,"Shanghai Meicheng Technology Information Development Co., Ltd."
998eee.com,998eee.com,24-jul-2024,1721779200.0,"GoDaddy.com, LLC"
9989qq.com,9989qq.com,06-dec-2023,1701820800.0,"GoDaddy.com, LLC"
998kongbao.com,998kongbao.com,04-aug-2024,1722729600.0,Eranet International Limited
998ruay.com,998ruay.com,18-nov-2023,1700265600.0,"NameCheap, Inc."
998ole.com,998ole.com,16-sep-2023,1694822400.0,"GoDaddy.com, LLC"
998k66.com,998k66.com,02-oct-2023,1696204800.0,"Name.com, Inc."
998viva.com,998viva.com,08-apr-2024,1712534400.0,Gandi SAS
998z6.com,998z6.com,19-sep-2023,1695081600.0,"Name.com, Inc."
99902.org,99902.org,16-jan-2024,1705363200.0,"Namesilo, LLC"
998wt.net,998wt.net,06-jan-2024,1704499200.0,"GoDaddy.com, LLC"
998tt.wang,998tt.wang,03-jan-2024,1704240000.0,Dynadot LLC
99900sc.com,99900sc.com,15-dec-2023,1702598400.0,Gname.com Pte. Ltd.
999021.com,999021.com,23-jan-2026,1769126400.0,"GoDaddy.com, LLC"
999021a.com,999021a.com,25-jun-2024,1719273600.0,"GoDaddy.com, LLC"
999021b.com,999021b.com,25-jun-2024,1719273600.0,"GoDaddy.com, LLC"
999021c.com,999021c.com,25-jun-2024,1719273600.0,"GoDaddy.com, LLC"
999021e.com,999021e.com,25-jun-2024,1719273600.0,"GoDaddy.com, LLC"
999021f.com,999021f.com,25-jun-2024,1719273600.0,"GoDaddy.com, LLC"
